id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
15801,2009-11-28 00:00:00,Moving,0,C09115463,0A115D7358,Jadzia,Domestic Short Hair,Tortie,Cat,9 years 2 months.,Female,Adoptable Cat Glass Colony,2017-05-13 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
15932,2009-12-08 00:00:00,Moving,0,D09125594,0A11675477,Gonzo,German Shepherd Dog/Mix,Tan,Dog,9 years 1 month.,Male,Adoptable Dogs,2017-04-24 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
28859,2012-08-10 00:00:00,Abandoned,0,D12082309,0A13253C7B,Maggie,Shep Mix/Siberian Husky,Various,Dog,6 years 8 months.,Female,Adoptable Dogs,2017-04-15 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
30812,2013-01-11 00:00:00,Abandoned,0,C1301091,0A13403D4D,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8 years 11 months.,Female,Stray Cats,2017-04-18 00:00:00,Foster,0,2018-05-29 00:00:00,Stray,,Died in care,0,0,0
30812,2013-01-11 00:00:00,Abandoned,0,C1301091,0A13403D4D,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8 years 11 months.,Female,Stray Cats,2018-05-29 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
31469,2013-03-26 00:00:00,Incompatible with owner lifestyle,0,D1303720,981020007006095,Bonnie,Basenji/Mix,Brown and White,Dog,5 years 11 months.,Female,Stray Dogs Beta,2013-03-30 00:00:00,Adoption,0,2017-05-08 00:00:00,Incompatible with owner lifestyle,,Died in care,0,0,0
31469,2013-03-26 00:00:00,Incompatible with owner lifestyle,0,D1303720,981020007006095,Bonnie,Basenji/Mix,Brown and White,Dog,5 years 11 months.,Female,Stray Dogs Beta,2017-05-09 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
40705,2015-06-19 00:00:00,Abandoned,0,R15061738,"",Candy,American Sable/American,Brown,House Rabbit,4 years 6 months.,Female,Lobby,2017-04-12 00:00:00,Transfer,0,,Stray,,Died in care,0,0,0
40706,2015-06-19 00:00:00,Abandoned,0,R15061739,"",Charlotte,American Sable/American,Brown,House Rabbit,4 years 6 months.,Female,Lobby,2017-04-12 00:00:00,Transfer,0,,Stray,,Died in care,0,0,0
46238,2016-10-09 00:00:00,Abandoned,0,D16103207,981020019070093,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Special Care Dogs,2016-11-26 00:00:00,Foster,0,2017-07-23 00:00:00,Stray,,Died in care,0,0,0
46238,2016-10-09 00:00:00,Abandoned,0,D16103207,981020019070093,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Special Care Dogs,2017-08-09 00:00:00,Foster,0,2018-02-14 00:00:00,Stray,,Died in care,0,0,0
46238,2016-10-09 00:00:00,Abandoned,0,D16103207,981020019070093,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Special Care Dogs,2018-02-14 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
46437,2016-10-26 00:00:00,Abandoned,0,C16103406,981020017650993,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Stray Cats,2017-03-25 00:00:00,Foster,0,2017-04-07 00:00:00,Stray,2018-02-10 00:00:00,"UU - untreatable, unmanageable",0,1,0
46437,2016-10-26 00:00:00,Abandoned,0,C16103406,981020017650993,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Stray Cats,2017-04-07 00:00:00,Adoption,0,2018-02-09 00:00:00,Incompatible with owner lifestyle,2018-02-10 00:00:00,"UU - untreatable, unmanageable",0,1,0
46693,2016-11-21 00:00:00,Abandoned,0,D16113659,981020017897009,Baby,Pitbull,White,Dog,4 years 1 month.,Male,Adoptable Dogs,2017-04-07 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47120,2017-01-11 00:00:00,Abandoned,0,C17011137,981020021072899,Vivian,Himalayan,Seal,Cat,5 years 0 months.,Female,Foster,2017-01-18 00:00:00,Foster,0,2017-05-13 00:00:00,Stray,,Died in care,0,0,0
47120,2017-01-11 00:00:00,Abandoned,0,C17011137,981020021072899,Vivian,Himalayan,Seal,Cat,5 years 0 months.,Female,Foster,2017-05-13 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47146,2017-01-17 00:00:00,Abandoned,0,D17011163,981020021063793,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,3 years 10 months.,Female,Foster,2017-03-31 00:00:00,Foster,0,2017-04-01 00:00:00,Stray,,Died in care,0,0,0
47146,2017-01-17 00:00:00,Abandoned,0,D17011163,981020021063793,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,3 years 10 months.,Female,Foster,2017-04-01 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47156,2017-01-17 00:00:00,Abandoned,0,R17011173,"",Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,2017-03-27 00:00:00,Foster,0,2017-04-07 00:00:00,Stray,,Died in care,0,0,0
47156,2017-01-17 00:00:00,Abandoned,0,R17011173,"",Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,2017-04-07 00:00:00,Foster,0,2017-04-07 00:00:00,Stray,,Died in care,0,0,0
47156,2017-01-17 00:00:00,Abandoned,0,R17011173,"",Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,2017-05-12 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47157,2017-01-17 00:00:00,Abandoned,0,R17011174,"",Hammer,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,2017-03-27 00:00:00,Foster,0,2017-04-07 00:00:00,Stray,,Died in care,0,0,0
47157,2017-01-17 00:00:00,Abandoned,0,R17011174,"",Hammer,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,2017-05-12 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47198,2017-01-22 00:00:00,Abandoned,0,C17011213,981020021020775,Mama Mia,Domestic Short Hair,Grey and White,Cat,3 years 3 months.,Female,Adoptable Cat Glass Colony,2017-02-03 00:00:00,Foster,0,2017-05-25 00:00:00,Stray,,Died in care,0,0,0
47198,2017-01-22 00:00:00,Abandoned,0,C17011213,981020021020775,Mama Mia,Domestic Short Hair,Grey and White,Cat,3 years 3 months.,Female,Adoptable Cat Glass Colony,2017-06-22 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47239,2017-01-27 00:00:00,Abandoned,0,D17011254,981020021070452,Maria,"",Brown and Black,Dog,1 year 10 months.,Female,Foster,2017-04-01 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47248,2017-01-27 00:00:00,Abandoned,0,C17011263,981020021068759,Mr. T,DMH/DSH,Black,Cat,9 years 11 months.,Male,Foster,2017-02-15 00:00:00,Foster,0,2017-06-02 00:00:00,Stray,,Died in care,0,0,0
47248,2017-01-27 00:00:00,Abandoned,0,C17011263,981020021068759,Mr. T,DMH/DSH,Black,Cat,9 years 11 months.,Male,Foster,2017-06-02 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47277,2017-01-31 00:00:00,Abandoned,0,C17011292,981020021046006,Coraline,Domestic Short Hair,Brown and Black,Cat,3 years 10 months.,Female,Adoptable Cat Glass Colony,2017-04-05 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47290,2017-02-01 00:00:00,Abandoned,0,C17021304,981020021057911,Montana,Domestic Short Hair,Torbie,Cat,3 years 4 months.,Female,Adoptable Cat Big Colony,2017-03-29 00:00:00,Foster,0,2017-04-27 00:00:00,Stray,,Died in care,0,0,0
47290,2017-02-01 00:00:00,Abandoned,0,C17021304,981020021057911,Montana,Domestic Short Hair,Torbie,Cat,3 years 4 months.,Female,Adoptable Cat Big Colony,2017-06-22 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47319,2017-02-05 00:00:00,Rabies Monitoring,0,D17021329,"",Louise Vada,Pitbull,Black,Dog,3 years 2 months.,Female,Stray Dogs Theta,2017-04-05 00:00:00,Reclaimed,0,,Stray,,Died in care,0,0,0
47360,2017-02-11 00:00:00,Abandoned,0,C17021370,981020021060759,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Office,2017-03-07 00:00:00,Foster,0,2017-04-22 00:00:00,Stray,2017-06-13 00:00:00,"UU - untreatable, unmanageable",0,1,0
47360,2017-02-11 00:00:00,Abandoned,0,C17021370,981020021060759,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Office,2017-04-25 00:00:00,Foster,0,2017-06-11 00:00:00,Stray,2017-06-13 00:00:00,"UU - untreatable, unmanageable",0,1,0
47360,2017-02-11 00:00:00,Abandoned,0,C17021370,981020021060759,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Office,2017-06-12 00:00:00,Foster,0,2017-06-13 00:00:00,Stray,2017-06-13 00:00:00,"UU - untreatable, unmanageable",0,1,0
47395,2017-02-13 00:00:00,Abandoned,0,C17021405,981020021035687,Gooseberry,Domestic Short Hair,Tortie,Cat,13 years 9 months.,Female,Adoptable Cat Big Colony,2017-04-11 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47402,2017-02-14 00:00:00,Abandoned,0,D17021412,981020021039948,Precious,Shep Mix/Mix,Ruddy,Dog,4 years 9 months.,Female,Adoptable Dogs,2017-03-21 00:00:00,Foster,0,2017-04-09 00:00:00,Stray,,Died in care,0,0,0
